,Company,Customer,Number_review,Language,Title,Date_review,Reply,Date_reply,Rating,Status,Experience Date
53,BoursoBank,Antoine,10 reviews,FR,How I am supposed to pay with my VISA?,"Aug 26, 2023",,,1,Merged,"How I am supposed to pay with my VISA?Last VISA payment attempt: the amount (<35€) is on my account (even if the card is in credit mode), the payment limit is way far from being reached... still rejected.This is now the third time in a row (of 72 hours) that I am not able to pay (online) with my VISA issued by Boursorama, although I have used the confirmation with double checking process using their App, and I even tried with connecting to my account on a computer and receiving an SMS... rejected, tell me why please!I tried Eliott from the web service, this is the most useless and stupid piece of software that exists, it has not clue and keep looping on some obvious nonsense or this that can be read in the support documents and FAQ (let you feel stupid, keep your documents sorted you don't need this tool).I have tried phoning... or being called back to be accurate, guess what is answering: Eliott... you can listen to its stupid nonsense, assuming you did not get the looping message while reading the first time.The number behind the card is for insurance purpose only, so I bothered someone for nothing... BUT IT WAS A ACTUAL PERSON, pleasant and kind too, thanks madam!Be aware: you cannot even block the card phoning there, very surprising (as all the other banks I know are offering that).This specific point is the first part of the reason why I am writing this review.Second is that I wrote a message 72h ago using the contact form on my customer account on their website and have not received any answer back (just a confirmation of sending the message, which was correctly done with a copy of my original message and questions)...So please guys tell me why it is not working, with all the confirmation techniques and methods I tried?How to proceed to use my money?P.S. the ""Cruise API"" is returning an error code: CSC 7200058, if it helps?Last but not least: how do I speak with somebody?Best RegardsDate of experience: August 26, 2023"
54,BoursoBank,Pierre REVOCAT,9 reviews,FR,simple rapide et efficace,"Jul 4, 2023",,,5,Merged,"simple rapide et efficaceDate of experience: July 03, 2023"
55,BoursoBank,Herve B,1 review,FR,très facile,"Sep 19, 2023",,,5,Merged,"très facileDate of experience: September 18, 2023"
56,BoursoBank,MAZUELAS Garry,3 reviews,FR,Rapide,"Mar 7, 2023",,,5,Merged,"RapideRapide , simple et efficace, merciDate of experience: March 06, 2023"
57,BoursoBank,Yasin Rahman,11 reviews,FR,Good online bank!,"Feb 26, 2023",,,5,Merged,"Good online bank!I've been using the bank since 2015. Everything is going good so far.Date of experience: February 25, 2023"
58,BoursoBank,Yvon C,1 review,FR,Très facile ...,"Aug 20, 2023",,,5,Merged,"Très facile ...Date of experience: August 18, 2023"
59,BoursoBank,Jakye Churlet,2 reviews,FR,Simple,"Jun 3, 2023",,,5,Merged,"SimpleSimple, rapide, efficace et sécure.Date of experience: June 02, 2023"
60,BoursoBank,Beatrice Phlppns,3 reviews,FR,Great app. Seamless experience. Only available in French language.,"Oct 23, 2022",,,4,Merged,"Great app. Seamless experience. Only available in French language.I love the app. But I rate it 4 because there is no option to change the language which makes it difficult for me sometimes as my French language skills is not perfect.Date of experience: October 23, 2022"
61,BoursoBank,Sylvie W,1 review,FR,Application efficace et intuitive,"Aug 11, 2023",,,5,Merged,"Application efficace et intuitiveApplication efficace et intuitive, pour les virements, les modifications de plafonds de paiements particulièrementDate of experience: August 10, 2023"
62,BoursoBank,Michelle Garrigue,9 reviews,FR,modification hyper rapide de mon…,"Mar 12, 2023",,,5,Merged,"modification hyper rapide de mon…modification hyper rapide de mon plafond de paiements carte bleueDate of experience: March 11, 2023"
63,BoursoBank,Bernard D.,2 reviews,FR,facile,"Oct 9, 2023",,,4,Merged,"facilefacile, mais un peu long.Date of experience: October 09, 2023"
64,BoursoBank,BARTOL JEAN,5 reviews,FR,UNE APPLICATION CLAIRE ET SIMPLE,"Jun 2, 2023",,,5,Merged,"UNE APPLICATION CLAIRE ET SIMPLEDate of experience: May 02, 2023"
65,BoursoBank,Bernard  BIEQUE,8 reviews,FR,Super Banque,"Feb 20, 2023",,,5,Merged,"Super BanqueSuper Banque. Simple et efficace.Date of experience: February 19, 2023"
66,BoursoBank,EMMANUELLE COUTURIER,5 reviews,FR,Modification plafond CB,"Nov 19, 2022",,,5,Merged,"Modification plafond CBRapidité, efficacité, simplicité.Date of experience: November 19, 2022"
67,BoursoBank,Stéphane H,2 reviews,FR,Très efficace,"Apr 20, 2023",,,5,Merged,"Très efficaceTrès efficace, simple et intuitif.Date of experience: April 19, 2023"
68,BoursoBank,Pierre EZZEDINE,5 reviews,FR,systeme simple et clair sans expression…,"Jan 28, 2023",,,5,Merged,"systeme simple et clair sans expression…systeme simple et clair sans expression technique elaboree   rapideDate of experience: January 27, 2023"
69,BoursoBank,Thierry D,1 review,FR,simple et rapide ..,"Sep 11, 2023",,,5,Merged,"simple et rapide ..Date of experience: September 10, 2023"
70,BoursoBank,Romain D,1 review,FR,simple et efficace,"Sep 11, 2023",,,5,Merged,"simple et efficaceDate of experience: September 10, 2023"
71,BoursoBank,Josiane S,1 review,FR,Simple,"Mar 17, 2023",,,5,Merged,"SimpleSimple, efficace et rapide.Date of experience: March 16, 2023"
72,BoursoBank,Gerard  V,1 review,FR,C'est simple et sans complications,"Mar 8, 2023",,,5,Merged,"C'est simple et sans complicationsDate of experience: March 07, 2023"
73,BoursoBank,Richard DESSENS,2 reviews,FR,Rapide et efficace et simple,"Apr 17, 2023",,,5,Merged,"Rapide et efficace et simpleDate of experience: April 16, 2023"
74,BoursoBank,Andre Nicolas G,1 review,FR,tres facile a utylise,"May 18, 2023",,,5,Merged,"tres facile a utyliseDate of experience: May 17, 2023"
75,BoursoBank,BERNARD ROUGAGNOU,6 reviews,FR,Super rapide et simple,"Apr 4, 2023",,,5,Merged,"Super rapide et simpleDate of experience: April 03, 2023"
76,BoursoBank,klimpel,6 reviews,TH,Facile rapide efficace,"Nov 24, 2022",,,5,Merged,"Facile rapide efficaceDate of experience: November 24, 2022"
77,BoursoBank,Olivier Grosselin,3 reviews,FR,l'application boursorama ultra simple…,"Sep 14, 2023",,,5,Merged,"l'application boursorama ultra simple…l'application boursorama ultra simple d'utilisation et très rapide !!!Date of experience: September 13, 2023"
78,BoursoBank,Christele V,1 review,FR,FACILITE DE LA DEMARCHE,"Feb 14, 2023",,,5,Merged,"FACILITE DE LA DEMARCHEDate of experience: February 13, 2023"
79,BoursoBank,MaCha LP,2 reviews,FR,application très pratique,"Nov 18, 2022",,,5,Merged,"application très pratiqueapplication très pratique, intuitiveDate of experience: November 18, 2022"
80,BoursoBank,Wick,4 reviews,FR,CREATION DE BENEFICIAIRE,"Sep 16, 2023",,,5,Merged,"CREATION DE BENEFICIAIRESimple, rapide et sécuriséDate of experience: September 15, 2023"
81,BoursoBank,jmarc B. (France),5 reviews,FR,rapide et simple !,"Aug 17, 2023",,,5,Merged,"rapide et simple !Date of experience: August 16, 2023"
82,BoursoBank,YVON C,1 review,FR,simple et sur,"Oct 30, 2023",,,5,Invited,"simple et surDate of experience: October 30, 2023"
83,BoursoBank,Saidou C,1 review,FR,virements instantanés,"Aug 9, 2023",,,5,Merged,"virements instantanéssimple et efficaceDate of experience: August 08, 2023"
84,BoursoBank,Alexandre P,1 review,FR,rapide,"Aug 3, 2023",,,5,Merged,"rapiderapide, simple, efficaceDate of experience: August 02, 2023"
85,BoursoBank,Client,8 reviews,FR,"Simple,rapide,pratique,félicitations!","Oct 16, 2023",,,5,Merged,"Simple,rapide,pratique,félicitations!Date of experience: October 10, 2023"
86,BoursoBank,stephane,18 reviews,FR,Super pratique !,"Jun 17, 2023",,,5,Merged,"Super pratique !Date of experience: June 16, 2023"
87,BoursoBank,Geraldine C,1 review,FR,Cela fonctionne immediatement sans…,"Jan 10, 2023",,,5,Merged,"Cela fonctionne immediatement sans…Cela fonctionne immediatement sans complication inutileDate of experience: December 31, 2022"
88,BoursoBank,Eric Dupont,64 reviews,DK,The Boursorama customer service is going down the drain,"Nov 24, 2022",,,1,Merged,"The Boursorama customer service is going down the drainI used to be very satisfied with this online bank and I have been a client of Boursorama for many years, but recently, the quality of the service has seriously deteriorated. I need to make an urgent bank transfer abroad. For security reasons, Boursorama has blocked the various bank transfer requests I made online. Consequently, I sent them an email through their portal asking for support, so the transfer could be made. While I got a notification acknowledging that my email had been received and that I will receive a confirmation to my email address, I never received such a confirmation. Furthermore, when I check on their website the history of my requests, I can see that the email request that I sent to them does not appear. I have tried to call the customer service several times and each time I got connected to a completely useless robot. As a last resort, I have requested to be called back. So far, no one has called me back. The bank transfer is urgent and I am completely stuck with a non existing customer service. The next step will be for me to close my bank account.Date of experience: November 24, 2022"
89,BoursoBank,Marc T,2 reviews,FR,Simple et efficace.,"Jul 10, 2023",,,5,Merged,"Simple et efficace.Date of experience: July 09, 2023"
90,BoursoBank,MARIE-PIERRE A,1 review,FR,DIFFICULTES DE COMPREHENSION AVEC…,"Sep 1, 2023",,,4,Merged,"DIFFICULTES DE COMPREHENSION AVEC…DIFFICULTES DE COMPREHENSION AVEC L'INTERLOCUTRICE DE BOURSORAMA CONCERNANT MON PATRIMOINEDate of experience: August 31, 2023"
91,BoursoBank,Esposito Votre transporteur,2 reviews,FR,Facile a compremdre,"Oct 24, 2023",,,5,Invited,"Facile a compremdreDate of experience: October 24, 2023"
92,BoursoBank,Isabelle,2 reviews,FR,Super comme option,"Jul 16, 2023",,,5,Merged,"Super comme optionDate of experience: July 15, 2023"
93,BoursoBank,Abdel Aziz M,1 review,FR,Simple,"Jun 1, 2023",,,5,Merged,"SimpleSimple, rapide, efficace.Date of experience: May 31, 2023"
94,BoursoBank,phedoroff claude,3 reviews,FR,excelent,"Jun 25, 2023",,,5,Merged,"excelenttrès bon serviceDate of experience: July 07, 2022"
95,BoursoBank,Cecile B,1 review,FR,simple et rapide,"Jun 13, 2023",,,5,Merged,"simple et rapideDate of experience: June 12, 2023"
96,BoursoBank,Le,3 reviews,FR,'activation,"Jun 1, 2023",,,5,Merged,"'activationmerciL'activation de ma carte est super bien expliqué,Date of experience: May 31, 2023"
97,BoursoBank,Carole VENTURINI Carole,3 reviews,FR,Simple et rapide,"Jun 15, 2023",,,5,Merged,"Simple et rapideDate of experience: June 14, 2023"
98,BoursoBank,C LAVALLARD,3 reviews,FR,Simple,"May 24, 2023",,,5,Merged,"SimpleSimple, facile rapide !Date of experience: May 23, 2023"
99,BoursoBank,Jdum,3 reviews,FR,simple et efficace,"May 27, 2023",,,5,Merged,"simple et efficaceDate of experience: May 26, 2023"
